,stamp,name,acc,prec,recall,preval,newRecall
159,2017-05-06 00:50,stm_aasane18,0.9975,0.0,0.0,0.00019,True
160,2017-05-06 01:00,stm_sb,0.9974,0.167,0.2,0.00037,True
161,2017-05-06 01:07,stm_aasane01_03,0.9956,0.231,0.333,0.00016,True
162,2017-05-06 01:17,stm_aasane16,0.9985,0.156,0.333,0.00034,True
163,2017-05-06 01:34,stm_aasane18,0.9981,0.111,0.25,0.00019,True
164,2017-05-06 01:52,stm_sb,0.9977,0.074,0.2,0.00037,True
165,2017-05-06 02:03,stm_aasane01_03,0.9961,0.17,0.333,0.00016,True
166,2017-05-06 02:13,stm_aasane16,0.9974,0.06,0.167,0.00034,True
167,2017-05-06 02:31,stm_aasane18,0.9984,0.0,0.0,0.00019,True
168,2017-05-06 02:46,stm_sb,0.9979,0.034,0.2,0.00037,True
169,2017-05-06 02:57,stm_aasane01_03,0.9965,0.132,0.333,0.00016,True
170,2017-05-06 03:06,stm_aasane16,0.9989,0.394,0.5,0.00034,True
171,2017-05-06 03:17,stm_aasane18,0.9985,0.0,0.0,0.00019,True
172,2017-05-06 03:30,stm_sb,0.9975,0.028,0.1,0.00037,True
173,2017-05-06 03:39,stm_aasane01_03,0.9967,0.101,0.333,0.00016,True
174,2017-05-06 03:48,stm_aasane16,0.9987,0.226,0.333,0.00034,True
175,2017-05-06 03:59,stm_aasane18,0.9984,0.0,0.0,0.00019,True
176,2017-05-06 04:12,stm_sb,0.9984,0.104,0.1,0.00037,True
177,2017-05-06 04:22,stm_aasane01_03,0.9975,0.094,0.333,0.00016,True
178,2017-05-06 04:30,stm_aasane16,0.9977,0.109,0.333,0.00034,True
179,2017-05-06 04:42,stm_aasane18,0.9967,0.014,0.25,0.00019,True
180,2017-05-06 04:59,stm_sb,0.9976,0.143,0.3,0.00037,True
181,2017-05-06 05:08,stm_aasane01_03,0.9964,0.19,0.333,0.00016,True
182,2017-05-06 05:17,stm_aasane16,0.9966,0.032,0.167,0.00034,True
183,2017-05-06 05:30,stm_aasane18,0.9974,0.111,0.25,0.00019,True
184,2017-05-06 05:46,stm_sb,0.9967,0.073,0.2,0.00037,True
185,2017-05-06 05:56,stm_aasane01_03,0.9951,0.139,0.333,0.00016,True
186,2017-05-06 06:02,stm_aasane16,0.9979,0.255,0.5,0.00034,True
187,2017-05-06 06:11,stm_aasane18,0.9968,0.014,0.25,0.00019,True
188,2017-05-06 06:21,stm_sb,0.9974,0.091,0.2,0.00037,True
189,2017-05-06 06:28,stm_aasane01_03,0.9955,0.141,0.333,0.00016,True
190,2017-05-06 06:35,stm_aasane16,0.9978,0.204,0.5,0.00034,True
191,2017-05-06 06:43,stm_aasane18,0.9975,0.0,0.0,0.00019,True
192,2017-05-06 06:54,stm_sb,0.9974,0.167,0.2,0.00037,True
193,2017-05-06 07:00,stm_aasane01_03,0.9956,0.231,0.333,0.00016,True
194,2017-05-06 07:11,stm_aasane16,0.9985,0.156,0.333,0.00034,True
195,2017-05-06 07:27,stm_aasane18,0.9981,0.111,0.25,0.00019,True
196,2017-05-06 07:45,stm_sb,0.9977,0.074,0.2,0.00037,True
197,2017-05-06 07:57,stm_aasane01_03,0.9961,0.17,0.333,0.00016,True
198,2017-05-06 08:07,stm_aasane16,0.9974,0.06,0.167,0.00034,True
199,2017-05-06 08:24,stm_aasane18,0.9984,0.0,0.0,0.00019,True
200,2017-05-06 08:40,stm_sb,0.9979,0.034,0.2,0.00037,True
201,2017-05-06 08:51,stm_aasane01_03,0.9965,0.132,0.333,0.00016,True
202,2017-05-06 09:00,stm_aasane16,0.9989,0.394,0.5,0.00034,True
203,2017-05-06 09:11,stm_aasane18,0.9985,0.0,0.0,0.00019,True
204,2017-05-06 09:24,stm_sb,0.9975,0.028,0.1,0.00037,True
205,2017-05-06 09:33,stm_aasane01_03,0.9967,0.101,0.333,0.00016,True
206,2017-05-06 09:41,stm_aasane16,0.9987,0.226,0.333,0.00034,True
207,2017-05-06 09:53,stm_aasane18,0.9984,0.0,0.0,0.00019,True
208,2017-05-06 10:06,stm_sb,0.9984,0.104,0.1,0.00037,True
209,2017-05-06 10:15,stm_aasane01_03,0.9975,0.094,0.333,0.00016,True
210,2017-05-06 22:42,stm_aasane16,0.9986,0.306,0.167,0.00034,True
211,2017-05-06 22:54,stm_aasane18,0.9975,0.145,0.5,0.00019,True
212,2017-05-06 23:09,stm_sb,0.997,0.155,0.4,0.00037,True
213,2017-05-06 23:20,stm_aasane01_03,0.9974,0.14,0.333,0.00016,True
214,2017-05-06 23:30,stm_aasane16,0.9975,0.196,0.167,0.00034,True
215,2017-05-06 23:42,stm_aasane18,0.9965,0.0,0.0,0.00019,True
216,2017-05-07 00:00,stm_sb,0.9975,0.233,0.4,0.00037,True
217,2017-05-07 00:11,stm_aasane01_03,0.996,0.084,0.333,0.00016,True
218,2017-05-07 00:18,stm_aasane16,0.9976,0.087,0.333,0.00034,True
219,2017-05-07 00:26,stm_aasane18,0.9973,0.017,0.25,0.00019,True
220,2017-05-07 00:37,stm_sb,0.9977,0.125,0.1,0.00037,True
221,2017-05-07 00:43,stm_aasane01_03,0.9959,0.238,0.333,0.00016,True
222,2017-05-07 00:50,stm_aasane16,0.9979,0.255,0.5,0.00034,True
223,2017-05-07 01:00,stm_aasane18,0.9971,0.074,0.25,0.00019,True
224,2017-05-07 01:10,stm_sb,0.9964,0.1,0.2,0.00037,True
225,2017-05-07 01:17,stm_aasane01_03,0.9959,0.163,0.333,0.00016,True
226,2017-05-07 01:28,stm_aasane16,0.9979,0.073,0.167,0.00034,True
227,2017-05-07 01:42,stm_aasane18,0.9982,0.0,0.0,0.00019,True
228,2017-05-07 01:56,stm_sb,0.9978,0.132,0.3,0.00037,True
229,2017-05-07 02:07,stm_aasane01_03,0.9966,0.21,0.333,0.00016,True
230,2017-05-07 02:18,stm_aasane16,0.9983,0.061,0.167,0.00034,True
231,2017-05-07 02:32,stm_aasane18,0.9982,0.0,0.0,0.00019,True
232,2017-05-07 02:48,stm_sb,0.9979,0.05,0.1,0.00037,True
233,2017-05-07 02:59,stm_aasane01_03,0.9966,0.309,0.333,0.00016,True
234,2017-05-07 03:08,stm_aasane16,0.9978,0.188,0.333,0.00034,True
235,2017-05-07 03:18,stm_aasane18,0.9984,0.079,0.25,0.00019,True
236,2017-05-07 03:31,stm_sb,0.9978,0.062,0.1,0.00037,True
237,2017-05-07 03:40,stm_aasane01_03,0.9965,0.202,0.333,0.00016,True
238,2017-05-07 03:49,stm_aasane16,0.9983,0.268,0.5,0.00034,True
239,2017-05-07 04:00,stm_aasane18,0.9986,0.118,0.25,0.00019,True
240,2017-05-07 04:12,stm_sb,0.9972,0.05,0.1,0.00037,True
241,2017-05-07 04:21,stm_aasane01_03,0.9972,0.243,0.333,0.00016,True
242,2017-05-07 04:30,stm_aasane16,0.9986,0.306,0.167,0.00034,True
243,2017-05-07 04:42,stm_aasane18,0.9975,0.145,0.5,0.00019,True
244,2017-05-07 04:57,stm_sb,0.997,0.155,0.4,0.00037,True
245,2017-05-07 05:07,stm_aasane01_03,0.9974,0.14,0.333,0.00016,True
246,2017-05-07 05:17,stm_aasane16,0.9975,0.196,0.167,0.00034,True
247,2017-05-07 05:30,stm_aasane18,0.9965,0.0,0.0,0.00019,True
248,2017-05-07 05:48,stm_sb,0.9975,0.233,0.4,0.00037,True
249,2017-05-07 05:58,stm_aasane01_03,0.996,0.084,0.333,0.00016,True
250,2017-05-07 06:05,stm_aasane16,0.9976,0.087,0.333,0.00034,True
251,2017-05-07 06:14,stm_aasane18,0.9973,0.017,0.25,0.00019,True
252,2017-05-07 06:24,stm_sb,0.9977,0.125,0.1,0.00037,True
253,2017-05-07 06:31,stm_aasane01_03,0.9959,0.238,0.333,0.00016,True
254,2017-05-07 06:38,stm_aasane16,0.9979,0.255,0.5,0.00034,True
255,2017-05-07 06:47,stm_aasane18,0.9971,0.074,0.25,0.00019,True
256,2017-05-07 06:58,stm_sb,0.9964,0.1,0.2,0.00037,True
